id,slug,title,collection,category,price,description,details,mainImage,lifestyleImage,galleryImages,imageFit,variants,isFeatured,hasVictorianFrame,material,created_at,updated_at,stock_count
golden-blob-studs-,golden-blob-studs-,golden blob studs,women,studs,89,"simple, stunning, and made for every day.","[""shiny golden look"",""royal feminine-esque""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/1786737257179-ed3nw.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/1786737268186-r3d1wi.jpeg,[],cover,"[{""id"":""v1"",""name"":""One Size"",""stock"":1,""inStock"":true}]",false,false,golden bakelite,2026-08-14 19:55:58.218413+00,2026-08-14 19:55:58.218413+00,1
golden-hoops-,golden-hoops-,golden hoops,women,hoops,89,"chic gold hoops that bring subtle elegance to any daily outfit
","[""dangling "",""shiny finish "",""secure back ""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/1786736389504-i3kxkf.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/1786736403520-rdgvp.jpeg,[],cover,"[{""id"":""v1"",""name"":""free size"",""stock"":0,""inStock"":false}]",false,false,Golden bakelite,2026-08-14 19:41:15.713085+00,2026-08-14 19:41:15.713085+00,0
golden-pearl-bow-studs-,golden-pearl-bow-studs-,twisted golden pearl bow studs,women,studs,89," shiny golden studs with a pearl oriented look","[""shiny golden look"",""goes with every fit""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/1786736774042-83tpnl.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/1786736784730-r447go.jpeg,[],cover,"[{""id"":""v1"",""name"":""free size"",""stock"":1,""inStock"":true}]",false,false,golden bakelite,2026-08-14 19:47:27.603698+00,2026-08-14 19:47:27.603698+00,1
golden-starfish-studs-,golden-starfish-studs-,golden starfish studs,women,studs,89,Radiant gold studs designed for sunny beach getaways,"[""starfish look"",""shiny golden""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/1786736099600-5pzjyw.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/1786736214163-io7ofh.jpeg,[],cover,"[{""id"":""v1"",""name"":""Free sizs"",""stock"":2,""inStock"":true}]",false,false,Golden bakelite,2026-08-14 19:36:57.494723+00,2026-08-14 19:36:57.494723+00,2
golden-studs-,golden-studs-,twisted golden studs,women,studs,89,"these golden Bakelite studs effortlessly blend timeless retro charm with a sleek, modern finish. Lightweight, durable, and uniquely polished, they are the perfect statement piece for both casual day
","[""coral look"",""smooth finish""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/1786736539835-toyi8c.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/1786736635071-blh6ua.jpeg,[],cover,"[{""id"":""v1"",""name"":""free size"",""stock"":3,""inStock"":true}]",false,false,golden bakelite,2026-08-14 19:43:58.634749+00,2026-08-14 19:43:58.634749+00,3
matilda-msrmjhy8,golden-waist-chain,golden waist chain,women,waist-chains,199,a statement golden waist chain featuring detailed medallion links. Fully adjustable from XXS to XXL to sit comfortably and securely on your waist.,"[""adjustable fit from XXS to XXL"",""intricate patterned medallion links"",""secure lobster clasp closure""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/plhx29qr8q.jpg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/bslpbpxqf3h.jpg,[],cover,"[{""id"":""v2"",""name"":""free size"",""stock"":6,""inStock"":true}]",false,false,gold toned metal,2026-08-14 13:24:47.292518+00,2026-08-14 13:24:47.292518+00,6
prod_1786822207499,prod_1786822207499,"korum heart pendent ",women,pendants,99,"A bold statement necklace designed with a detachable black cord provides remarkable flexibility, letting you switch seamlessly from a dramatic, high-fashion collar style to a relaxed, everyday aesthetic.","[""glassy heart look"",""goes with every fit""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786821944826_whqibetqux.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786821954502_7ushpwsn6u8.jpeg,"[""https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786821961700_ia0wt5t2zdf.jpeg""]",cover,"[{""id"":""v1"",""name"":""free size"",""stock"":0,""inStock"":false}]",false,false,"glass and cord ",2026-08-15 19:30:09.369517+00,2026-08-15 19:30:09.369517+00,0
prod_1786824810310,prod_1786824810310,maple leaf pendant,both,pendants,159,"a maple leaf pendant paired with a detachable chain combines autumnal elegance with modern versatility, allowing you to easily shift from an earthy, casual daytime aesthetic to a striking, nature-inspired evening look.","[""stainless steel"",""free size"",""gothesque""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786824192535_2lqhe92c4j8.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786824199692_cdlvithq6bc.jpeg,[],cover,"[{""id"":""v1"",""name"":""free size"",""stock"":8,""inStock"":true}]",false,false,stainless steel,2026-08-15 20:13:32.909076+00,2026-08-15 20:13:32.909076+00,8
prod_1786825127272,prod_1786825127272,silver sunburst pendant,both,pendants,169,"a bold steel sunburst pendant paired with a detachable chain merges industrial edge with celestial warmth, giving you a striking accessory that transitions effortlessly from everyday streetwear to statement evening wear.","[""celestial design"",""effortless and easy to style"",""versatile Sizing""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786824924605_cqvyveqghip.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786824932779_4kxudu01zbr.jpeg,[],cover,"[{""id"":""v1"",""name"":""free size"",""stock"":14,""inStock"":true}]",false,false,Stainless steel,2026-08-15 20:18:48.942314+00,2026-08-15 20:18:48.942314+00,14
prod_1786825557123,prod_1786825557123,gothic spider pendant,both,pendants,169,"a striking spider pendant paired with a detachable 
silver chain offers the ultimate gothic-chic or edgy modern versatility, letting you completely transform the vibe of the piece from dark romance to sleek industrial edge.","[""spiderman-esque"",""gothic look"",""everyday carry""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786825204783_l591wbep9c.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786825210473_wq03wardwyi.jpeg,[],cover,"[{""id"":""v1"",""name"":""free size"",""stock"":2,""inStock"":true}]",false,false,stainless steel,2026-08-15 20:25:59.454827+00,2026-08-15 20:25:59.454827+00,2
prod_1786826607562,prod_1786826607562,"silver butterfly pendent ",women,pendants,169,"A gothic butterfly pendant paired with a detachable silver chain creates a striking balance between dark romance and ethereal grunge, offering versatile styling options that range from Victorian mourning-style elegance to modern alternative fashion.","[""dark aesthetic style"",""interchangeable chain"",""versatile alternative wear""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786825985268_71y31jqzhc3.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786825994111_ayrnq1prtsh.jpeg,[],cover,"[{""id"":""v1"",""name"":""free size"",""stock"":4,""inStock"":true}]",false,false,steel,2026-08-15 20:43:29.614643+00,2026-08-15 20:43:29.614643+00,4
prod_1786827794259,prod_1786827794259,silver feather pendant,both,pendants,169,"A stunning silver feather pendant paired with a chain brings a touch of organic elegance and bohemian free-spiritedness to your everyday look. Whether crafted from polished sterling silver or detailed pewter, the intricate texturing of the feather mimics the natural flow of real plumage, making it a timeless and lightweight accessory.","[""Sterling silver "",""Gothic style""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786827342007_ac62zgloeuv.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786827348025_q7n1eh6jnz9.jpeg,[],cover,"[{""id"":""v1"",""name"":""One Size"",""stock"":1,""inStock"":true}]",false,false,steel,2026-08-15 21:03:16.332305+00,2026-08-15 21:03:16.332305+00,1
prod_1786828141597,prod_1786828141597,dripping butterfly pendant,women,pendants,169,"A dripping butterfly pendant merges delicate wing symmetry with an edgy, avant-garde melting effect, creating a striking piece that is equal parts whimsical and subversive.","[""Melting Silhouette"",""Textural Contrast"",""Bail Integration""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786827843656_tk8us5i4nyj.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786827849651_vk62194bs6.jpeg,[],cover,"[{""id"":""v1"",""name"":""One Size"",""stock"":1,""inStock"":true}]",false,false,Steel,2026-08-15 21:09:03.358906+00,2026-08-15 21:09:03.358906+00,1
